Date,Ticker,Name,12M Low,12M High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Adjusted Price,Adjusted
2011-07-14,TCL,Trans-Century,20,37.75,50,60,57,-,57,100.00%,"1,140,000",-,,
2011-07-15,TCL,Trans-Century,20,37.75,51.5,57,52.5,57,-4.5,8.57%,"95,000",-,,
2011-07-18,TCL,Trans-Century,20,37.75,47.5,50,49.5,52.5,-3,6.06%,"60,900",-,,
2011-07-19,TCL,Trans-Century,20,37.75,49,50,49.5,49.5,-,-,"36,000",-,,
2011-07-20,TCL,Trans-Century,20,37.75,48.75,50,49,49.5,-0.5,1.02%,"4,300",-,,
2011-07-21,TCL,Trans-Century,20,37.75,47.75,49,48,49,-1,2.08%,"4,300",-,,
2011-07-22,TCL,Trans-Century,20,37.75,47.5,47.75,47.5,48,-0.5,1.05%,"1,500",-,,
2011-07-25,TCL,Trans-Century,20,37.75,44,47,45.25,47.5,-2.25,4.97%,"20,800",-,,
2011-07-26,TCL,Trans-Century,20,37.75,44,44,44,45.25,-1.25,2.84%,"2,400",-,,
2011-07-27,TCL,Trans-Century,20,37.75,40,45,42.25,44,-1.75,4.14%,400,-,,
2011-07-28,TCL,Trans-Century,20,37.75,42.5,42.5,42.5,42.25,0.25,0.59%,500,-,,
2011-07-29,TCL,Trans-Century,20,37.75,42,43,42.75,42.5,0.25,0.58%,"3,600",-,,
2011-08-01,TCL,Trans-Century,20,37.75,42.5,42.5,42.5,42.75,-0.25,0.59%,"1,000",-,,
2011-08-02,TCL,Trans-Century,20,37.75,41.5,42,41.5,42.5,-1,2.41%,"9,500",-,,
2011-08-03,TCL,Trans-Century,20,37.75,39,39,39,41.5,-2.5,6.41%,300,-,,
2011-08-04,TCL,Trans-Century,20,37.75,39,40,39.5,39,0.5,1.27%,"15,200",-,,
2011-08-05,TCL,Trans-Century,20,37.75,39,39,39,39.5,-0.5,1.28%,"549,500",-,,
2011-08-08,TCL,Trans-Century,20,37.75,39,41,39,39,-,-,"38,100",-,,
2011-08-09,TCL,Trans-Century,20,37.75,39,39,39,39,-,-,"52,600",-,,
2011-08-10,TCL,Trans-Century,20,37.75,39,39.25,39,39,-,-,"12,300",-,,
2011-08-11,TCL,Trans-Century,20,37.75,39,39,39,39,-,-,0,-,,
2011-08-12,TCL,Trans-Century,20,37.75,39,40,39.5,39,0.5,1.27%,"99,200",-,,
2011-08-15,TCL,Trans-Century,20,37.75,38,40,38.75,39.5,-0.75,1.94%,"40,400",-,,
2011-08-16,TCL,Trans-Century,20,37.75,40,42,41,38.75,2.25,5.49%,"82,000",-,,
2011-08-17,TCL,Trans-Century,20,37.75,38,40,38.5,41,-2.5,6.49%,"4,000",-,,
2011-08-18,TCL,Trans-Century,20,37.75,38.5,38.5,38.5,38.5,-,-,0,-,,
2011-08-19,TCL,Trans-Century,20,37.75,37.25,40,39,38.5,0.5,1.28%,"2,500",-,,
2011-08-22,TCL,Trans-Century,20,37.75,38.5,40,39.75,39,0.75,1.89%,"11,700",-,,
2011-08-23,TCL,Trans-Century,20,37.75,39.5,40,39.75,39.75,-,-,"10,200",-,,
2011-08-24,TCL,Trans-Century,20,37.75,39.75,39.75,39.75,39.75,-,-,0,-,,
2011-08-25,TCL,Trans-Century,20,37.75,38,39,38,39.75,-1.75,4.61%,"7,600",-,,
2011-08-26,TCL,Trans-Century,20,37.75,38,38,38,38,-,-,200,-,,
2011-08-29,TCL,Trans-Century,20,37.75,38,38,38,38,-,-,"1,200",-,,
2011-08-30,TCL,Trans-Century,20,37.75,38,38,38,38,-,-,0,-,,
2011-09-01,TCL,Trans-Century,20,37.75,38,38,38,38,-,-,100,-,,
2011-09-02,TCL,Trans-Century,20,37.75,34.5,38,35.25,38,-2.75,7.80%,"4,100",-,,
2011-09-05,TCL,Trans-Century,20,37.75,38,38,38,35.25,2.75,7.24%,500,-,,
2011-09-06,TCL,Trans-Century,20,37.75,38,38,38,38,-,-,200,-,,
2011-09-07,TCL,Trans-Century,20,37.75,37.75,37.75,37.75,38,-0.25,0.66%,"6,910,000",-,,
2011-09-08,TCL,Trans-Century,20,37.75,37.75,37.75,37.75,37.75,-,-,"3,100",-,,
2011-09-09,TCL,Trans-Century,20,37.75,37.75,37.75,37.75,37.75,-,-,0,-,,
2011-09-12,TCL,Trans-Century,20,37.75,35,37,35.5,37.75,-2.25,6.34%,300,-,,
2011-09-13,TCL,Trans-Century,20,37.75,33,35,33,35.5,-2.5,7.58%,"7,800",-,,
2011-09-14,TCL,Trans-Century,20,37.75,33,33,33,33,-,-,"1,500",-,,
2011-09-15,TCL,Trans-Century,20,37.75,33,33,33,33,-,-,"6,000",-,,
2011-09-16,TCL,Trans-Century,20,37.75,30,33,30.25,33,-2.75,9.09%,"2,800",-,,
2011-09-19,TCL,Trans-Century,20,37.75,30,32.75,30.5,30.25,0.25,0.82%,"40,900",-,,
2011-09-20,TCL,Trans-Century,20,37.75,30,32.5,30,30.5,-0.5,1.67%,"52,200",-,,
2011-09-21,TCL,Trans-Century,20,37.75,30,30,30,30,-,-,"25,200",-,,
2011-09-22,TCL,Trans-Century,20,37.75,30,32.5,30,30,-,-,"53,100",-,,
2011-09-23,TCL,Trans-Century,20,37.75,30,30,30,30,-,-,"8,400",-,,
2011-09-26,TCL,Trans-Century,20,37.75,28,28,28,30,-2,7.14%,"271,600",-,,
2011-09-27,TCL,Trans-Century,20,37.75,27,28,27,28,-1,3.70%,600,-,,
2011-09-28,TCL,Trans-Century,20,37.75,27,27,27,27,-,-,"240,300",-,,
2011-09-29,TCL,Trans-Century,20,37.75,25,25,25,27,-2,8.00%,400,-,,
2011-09-30,TCL,Trans-Century,20,37.75,25,25,25,25,-,-,0,-,,
2011-10-03,TCL,Trans-Century,20,37.75,25,25,25,25,-,-,0,-,,
2011-10-04,TCL,Trans-Century,20,37.75,27,27,27,25,2,7.41%,"101,100",-,,
2011-10-05,TCL,Trans-Century,20,37.75,27,27,27,27,-,-,"6,000",-,,
2011-10-06,TCL,Trans-Century,20,37.75,25,29,28.5,27,1.5,5.26%,"130,700",-,,
2011-10-07,TCL,Trans-Century,20,37.75,30,30,30,28.5,1.5,5.00%,500,-,,
2011-10-10,TCL,Trans-Century,20,37.75,30,30,30,30,-,-,0,-,,
2011-10-11,TCL,Trans-Century,20,37.75,30,33,30.75,30,0.75,2.44%,"360,900",-,,
2011-10-12,TCL,Trans-Century,20,37.75,33,33,33,30.75,2.25,6.82%,"1,000",-,,
2011-10-13,TCL,Trans-Century,20,37.75,30,33,30.25,33,-2.75,9.09%,"11,000",-,,
2011-10-14,TCL,Trans-Century,20,37.75,30,31,30,30.25,-0.25,0.83%,"12,500",-,,
2011-10-17,TCL,Trans-Century,20,37.75,30,32,30,30,-,-,"29,800",-,,
2011-10-18,TCL,Trans-Century,20,37.75,30,30,30,30,-,-,500,-,,
2011-10-19,TCL,Trans-Century,20,37.75,30,30,30,30,-,-,"1,600",-,,
2011-10-21,TCL,Trans-Century,20,37.75,28.5,30,29,30,-1,3.45%,"4,200",-,,
2011-10-24,TCL,Trans-Century,20,37.75,28.5,30,29,29,-,-,"4,100",-,,
2011-10-25,TCL,Trans-Century,20,37.75,30,30,30,29,1,3.33%,900,-,,
2011-10-26,TCL,Trans-Century,20,37.75,30,30,30,30,-,-,0,-,,
2011-10-27,TCL,Trans-Century,20,37.75,30,30,30,30,-,-,0,-,,
2011-10-28,TCL,Trans-Century,20,37.75,30,30,30,30,-,-,0,-,,
2011-10-31,TCL,Trans-Century,20,37.75,30,30,30,30,-,-,0,-,,
2011-11-01,TCL,Trans-Century,20,37.75,30,30,30,30,-,-,0,-,,
2011-11-02,TCL,Trans-Century,20,37.75,30,30,30,30,-,-,"10,500",-,,
2011-11-03,TCL,Trans-Century,20,37.75,30,30,30,30,-,-,"1,100",-,,
2011-11-04,TCL,Trans-Century,20,37.75,30,30,30,30,-,-,200,-,,
2011-11-07,TCL,Trans-Century,20,37.75,30,30,30,30,-,-,"7,700",-,,
2011-11-09,TCL,Trans-Century,20,37.75,30,30,30,30,-,-,"3,100",-,,
2011-11-10,TCL,Trans-Century,20,37.75,30,30,30,30,-,-,0,-,,
2011-11-11,TCL,Trans-Century,20,37.75,30,30,30,30,-,-,400,-,,
2011-11-14,TCL,Trans-Century,20,37.75,30,30,30,30,-,-,800,-,,
2011-11-15,TCL,Trans-Century,20,37.75,30,30,30,30,-,-,"10,500",-,,
2011-11-16,TCL,Trans-Century,20,37.75,30,30,30,30,-,-,100,-,,
2011-11-17,TCL,Trans-Century,20,37.75,30,30,30,30,-,-,0,-,,
2011-11-18,TCL,Trans-Century,20,37.75,29,30,29.25,30,-0.75,2.56%,"1,200",-,,
2011-11-21,TCL,Trans-Century,20,37.75,28.25,30,29,29.25,-0.25,0.86%,"2,500",-,,
2011-11-22,TCL,Trans-Century,20,37.75,27,30,28,29,-1,3.57%,"1,500",-,,
2011-11-23,TCL,Trans-Century,20,37.75,27,27,27,28,-1,3.70%,200,-,,
2011-11-24,TCL,Trans-Century,20,37.75,25,26,25.5,27,-1.5,5.88%,"2,500",-,,
2011-11-25,TCL,Trans-Century,20,37.75,25.5,26.25,26,25.5,0.5,1.92%,"9,800",-,,
2011-11-28,TCL,Trans-Century,20,37.75,28.5,28.5,28.5,26,2.5,8.77%,100,-,,
2011-11-29,TCL,Trans-Century,20,37.75,28.5,28.5,28.5,28.5,-,-,0,-,,
2011-11-30,TCL,Trans-Century,20,37.75,28.5,30,29.75,28.5,1.25,4.20%,"1,060,000",-,,
2011-12-01,TCL,Trans-Century,20,37.75,29,30,29.75,29.75,-,-,"10,900",-,,
2011-12-02,TCL,Trans-Century,20,37.75,27,27,27,29.75,-2.75,10.19%,500,-,,
2011-12-05,TCL,Trans-Century,20,37.75,27,27,27,27,-,-,0,-,,
2011-12-06,TCL,Trans-Century,20,37.75,27,27,27,27,-,-,200,-,,
2011-12-07,TCL,Trans-Century,20,37.75,26.75,29.5,27.5,27,0.5,1.82%,"7,900",-,,
2011-12-08,TCL,Trans-Century,20,37.75,29.75,29.75,29.75,27.5,2.25,7.56%,"8,800",-,,
2011-12-09,TCL,Trans-Century,20,37.75,30,30,30,29.75,0.25,0.83%,"8,600",-,,
2011-12-13,TCL,Trans-Century,20,37.75,30,30,30,30,-,-,100,-,,
2011-12-14,TCL,Trans-Century,20,37.75,30,30,30,30,-,-,100,-,,
2011-12-15,TCL,Trans-Century,20,37.75,27,27,27,30,-3,11.11%,"1,100",-,,
2011-12-16,TCL,Trans-Century,20,37.75,25.25,29.5,26.25,27,-0.75,2.86%,"12,700",-,,
2011-12-19,TCL,Trans-Century,20,37.75,26,26,26,26.25,-0.25,0.96%,"2,000",-,,
2011-12-20,TCL,Trans-Century,20,37.75,27.75,27.75,27.75,26,1.75,6.31%,"250,000",-,,
2011-12-21,TCL,Trans-Century,20,37.75,29.75,29.75,29.75,27.75,2,6.72%,100,-,,
2011-12-22,TCL,Trans-Century,20,37.75,29,29,29,29.75,-0.75,2.59%,900,-,,
2011-12-23,TCL,Trans-Century,20,37.75,29,29,29,29,-,-,0,-,,
2011-12-27,TCL,Trans-Century,20,37.75,29.5,29.5,29.5,29,0.5,1.69%,"7,000",-,,
2011-12-28,TCL,Trans-Century,20,37.75,27.75,29,28,29.5,-1.5,5.36%,"1,600",-,,
2011-12-29,TCL,Trans-Century,20,37.75,27,28,27,28,-1,3.70%,"3,400",-,,
2011-12-30,TCL,Trans-Century,20,37.75,27,28,27.25,27,0.25,0.92%,"702,200",-,,
2012-01-03,TCL,Trans-Century,20,37.75,28,28,28,27.25,0.75,2.68%,"3,200",-,,
2012-01-04,TCL,Trans-Century,20,37.75,28,28,28,28,-,-,0,-,,
2012-01-05,TCL,Trans-Century,20,37.75,27,28,27.25,28,-0.75,2.75%,"2,100",-,,
2012-01-06,TCL,Trans-Century,20,37.75,25,25,25,27.25,-2.25,9.00%,"10,000",-,,
2012-01-09,TCL,Trans-Century,20,37.75,25,25,25,25,-,-,600,-,,
2012-01-10,TCL,Trans-Century,20,37.75,25,25,25,25,-,-,700,-,,
2012-01-11,TCL,Trans-Century,20,37.75,26.5,26.5,26.5,25,1.5,5.66%,"4,300",-,,
2012-01-12,TCL,Trans-Century,20,37.75,25,27,25,26.5,-1.5,6.00%,"24,900",-,,
2012-01-13,TCL,Trans-Century,20,37.75,27,27,27,25,2,7.41%,"1,300",-,,
2012-01-16,TCL,Trans-Century,20,37.75,25,25,25,27,-2,8.00%,"4,200",-,,
2012-01-17,TCL,Trans-Century,20,37.75,23,25,23.5,25,-1.5,6.38%,"1,800",-,,
2012-01-18,TCL,Trans-Century,20,37.75,23,24.25,23,23.5,-0.5,2.17%,"214,500",-,,
2012-01-19,TCL,Trans-Century,20,37.75,25.25,25.25,25.25,23,2.25,8.91%,100,-,,
2012-01-20,TCL,Trans-Century,20,37.75,26,26,26,25.25,0.75,2.88%,300,-,,
2012-01-23,TCL,Trans-Century,20,37.75,25,25,25,26,-1,4.00%,200,-,,
2012-01-24,TCL,Trans-Century,20,37.75,26,27,26.5,25,1.5,5.66%,"13,000",-,,
2012-01-25,TCL,Trans-Century,20,37.75,25,25,25,26.5,-1.5,6.00%,"42,000",-,,
2012-01-26,TCL,Trans-Century,20,37.75,25,25,25,25,-,-,"11,700",-,,
2012-01-27,TCL,Trans-Century,20,37.75,25,26.75,25,25,-,-,"5,900",-,,
2012-01-30,TCL,Trans-Century,20,37.75,25.25,25.25,25.25,25,0.25,0.99%,500,-,,
2012-01-31,TCL,Trans-Century,20,37.75,25.25,25.25,25.25,25.25,-,-,0,-,,
2012-02-01,TCL,Trans-Century,20,37.75,26,26,26,25.25,0.75,2.88%,100,-,,
2012-02-02,TCL,Trans-Century,20,37.75,25,25.25,25,26,-1,4.00%,"1,800",-,,
2012-02-03,TCL,Trans-Century,20,37.75,25.25,25.25,25.25,25,0.25,0.99%,300,-,,
2012-02-06,TCL,Trans-Century,20,37.75,24,24,24,25.25,-1.25,5.21%,400,-,,
2012-02-07,TCL,Trans-Century,20,37.75,24,26,24,24,-,-,900,-,,
2012-02-08,TCL,Trans-Century,20,37.75,25.5,25.5,25.5,24,1.5,5.88%,200,-,,
2012-02-09,TCL,Trans-Century,20,37.75,23,24,23.25,25.5,-2.25,9.68%,"5,700",-,,
2012-02-10,TCL,Trans-Century,20,37.75,21,23.5,21.5,23.25,-1.75,8.14%,"5,700",-,,
2012-02-13,TCL,Trans-Century,20,37.75,21.75,21.75,21.75,21.5,0.25,1.15%,0,-,,
2012-02-14,TCL,Trans-Century,20,37.75,21.5,22.5,21.75,21.75,-,-,"6,100",-,,
2012-02-15,TCL,Trans-Century,20,37.75,21.5,21.5,21.5,21.75,-0.25,1.16%,"17,400",-,,
2012-02-16,TCL,Trans-Century,20,37.75,21.5,21.5,21.5,21.5,-,-,0,-,,
2012-02-17,TCL,Trans-Century,20,37.75,20,23,20.5,21.5,-1,4.88%,"16,800",-,,
2012-02-20,TCL,Trans-Century,20,37.75,21,22,21.25,20.5,0.75,3.53%,"5,000",-,,
2012-02-21,TCL,Trans-Century,20,37.75,21.5,23.25,21.5,21.25,0.25,1.16%,"130,100",-,,
2012-02-22,TCL,Trans-Century,20,37.75,21.25,23.5,21.5,21.5,-,-,"534,300",-,,
2012-02-23,TCL,Trans-Century,20,37.75,21.5,21.5,21.5,21.5,-,-,0,-,,
2012-02-24,TCL,Trans-Century,20,37.75,20,22.5,21,21.5,-0.5,2.38%,"35,200",-,,
2012-02-27,TCL,Trans-Century,20,37.75,21,21,21,21,-,-,0,-,,
2012-02-28,TCL,Trans-Century,20,37.75,20,23,21,21,-,-,"11,700",-,,
2012-02-29,TCL,Trans-Century,20,37.75,20,23,20.75,21,-0.25,1.20%,"8,100",-,,
2012-03-01,TCL,Trans-Century,20,37.75,20,22,20.25,20.75,-0.5,2.47%,"10,300",-,,
2012-03-02,TCL,Trans-Century,20,37.75,20.25,20.25,20.25,20.25,-,-,0,-,,
2012-03-05,TCL,Trans-Century,20,37.75,20.25,20.25,20.25,20.25,-,-,0,-,,
2012-03-06,TCL,Trans-Century,20,37.75,21,21,21,20.25,0.75,3.57%,"1,000",-,,
2012-03-07,TCL,Trans-Century,20,37.75,21,21,21,21,-,-,300,-,,
2012-03-08,TCL,Trans-Century,20,37.75,21,21,21,21,-,-,0,-,,
2012-03-09,TCL,Trans-Century,20,37.75,21,21,21,21,-,-,0,-,,
2012-03-12,TCL,Trans-Century,20,37.75,21,21,21,21,-,-,0,-,,
2012-03-13,TCL,Trans-Century,20,37.75,21,21,21,21,-,-,0,-,,
2012-03-14,TCL,Trans-Century,20,37.75,21.5,22,21.5,21,0.5,2.33%,"7,900",-,,
2012-03-15,TCL,Trans-Century,20,37.75,21.5,21.5,21.5,21.5,-,-,"1,400",-,,
2012-03-16,TCL,Trans-Century,20,37.75,20,21.5,20.25,21.5,-1.25,6.17%,"12,800",-,,
2012-03-19,TCL,Trans-Century,20,37.75,20,20,20,20.25,-0.25,1.25%,"1,400",-,,
2012-03-20,TCL,Trans-Century,20,37.75,20,20,20,20,-,-,0,-,,
2012-03-21,TCL,Trans-Century,20,37.75,20,20,20,20,-,-,0,-,,
2012-03-22,TCL,Trans-Century,20,37.75,20,20,20,20,-,-,0,-,,
2012-03-23,TCL,Trans-Century,20,37.75,20,20,20,20,-,-,0,-,,
2012-03-26,TCL,Trans-Century,20,37.75,20.25,20.25,20.25,20,0.25,1.23%,500,-,,
2012-03-27,TCL,Trans-Century,20,37.75,20.75,22,20.75,20.25,0.5,2.41%,"1,280,000",-,,
2012-03-28,TCL,Trans-Century,20,37.75,20.75,20.75,20.75,20.75,-,-,0,-,,
2012-03-29,TCL,Trans-Century,20,37.75,22,22,22,20.75,1.25,5.68%,"59,300",-,,
2012-03-30,TCL,Trans-Century,20,37.75,22,22,22,22,-,-,"11,900",-,,
2012-04-02,TCL,Trans-Century,20,37.75,22,22,22,22,-,-,0,-,,
2012-04-03,TCL,Trans-Century,20,37.75,22,22,22,22,-,-,0,-,,
2012-04-04,TCL,Trans-Century,20,37.75,22,23,22.5,22,0.5,2.22%,200,-,,
2012-04-05,TCL,Trans-Century,20,37.75,22.5,22.5,22.5,22.5,-,-,0,-,,
2012-04-10,TCL,Trans-Century,20,37.75,22.5,22.5,22.5,22.5,-,-,0,-,,
2012-04-11,TCL,Trans-Century,20,37.75,22.5,22.5,22.5,22.5,-,-,"4,500",-,,
2012-04-12,TCL,Trans-Century,20,37.75,22.5,22.5,22.5,22.5,-,-,0,-,,
2012-04-13,TCL,Trans-Century,20,37.75,22.5,22.5,22.5,22.5,-,-,0,-,,
2012-04-16,TCL,Trans-Century,20,37.75,22.5,22.75,22.5,22.5,-,-,"52,200",-,,
2012-04-17,TCL,Trans-Century,20,37.75,22.5,23,22.5,22.5,-,-,"5,200",-,,
2012-04-18,TCL,Trans-Century,20,37.75,22.5,22.5,22.5,22.5,-,-,0,-,,
2012-04-19,TCL,Trans-Century,20,37.75,23,24,23.5,22.5,1,4.26%,"1,300",-,,
2012-04-20,TCL,Trans-Century,20,37.75,23.5,23.5,23.5,23.5,-,-,0,-,,
2012-04-23,TCL,Trans-Century,20,37.75,23.5,23.5,23.5,23.5,-,-,0,-,,
2012-04-25,TCL,Trans-Century,20,37.75,22.75,24,22.75,23.5,-0.75,3.30%,"1,010,000",-,,
2012-04-26,TCL,Trans-Century,20,37.75,22.75,22.75,22.75,22.75,-,-,0,-,,
2012-04-27,TCL,Trans-Century,20,37.75,22.75,22.75,22.75,22.75,-,-,0,-,,
2012-04-30,TCL,Trans-Century,20,37.75,22.75,22.75,22.75,22.75,-,-,0,-,,
2012-05-02,TCL,Trans-Century,20,37.75,22.75,22.75,22.75,22.75,-,-,0,-,,
2012-05-03,TCL,Trans-Century,20,37.75,23.5,25,23.5,22.75,0.75,3.19%,"170,500",-,,
2012-05-04,TCL,Trans-Century,20,37.75,23,25,24.5,23.5,1,4.08%,"26,000",-,,
2012-05-07,TCL,Trans-Century,20,37.75,24.5,24.5,24.5,24.5,-,-,0,-,,
2012-05-08,TCL,Trans-Century,20,37.75,26.5,26.5,26.5,24.5,2,7.55%,500,-,,
2012-05-09,TCL,Trans-Century,20,37.75,26.5,26.5,26.5,26.5,-,-,0,-,,
2012-05-10,TCL,Trans-Century,20,37.75,26.5,26.5,26.5,26.5,-,-,0,-,,
2012-05-11,TCL,Trans-Century,20,37.75,24,26,24,26.5,-2.5,10.42%,"65,800",-,,
2012-05-14,TCL,Trans-Century,20,37.75,24,24,24,24,-,-,"308,300",-,,
2012-05-15,TCL,Trans-Century,20,37.75,24,24,24,24,-,-,0,-,,
2012-05-16,TCL,Trans-Century,20,37.75,24,24,24,24,-,-,0,-,,
2012-05-17,TCL,Trans-Century,20,37.75,25,26.25,25,24,1,4.00%,"1,790,000",-,,
2012-05-18,TCL,Trans-Century,20,37.75,27,27,27,25,2,7.41%,200,-,,
2012-05-21,TCL,Trans-Century,20,37.75,25,27.5,25,27,-2,8.00%,"258,900",-,,
2012-05-22,TCL,Trans-Century,20,37.75,25,25,25,25,-,-,0,-,,
2012-05-23,TCL,Trans-Century,20,37.75,25,26.5,25,25,-,-,"11,300",-,,
2012-05-24,TCL,Trans-Century,20,37.75,26,26,26,25,1,3.85%,"2,800",-,,
2012-05-25,TCL,Trans-Century,20,37.75,26,26,26,26,-,-,0,-,,
2012-05-28,TCL,Trans-Century,20,37.75,24.5,26,24.5,26,-1.5,6.12%,"17,000",-,,
2012-05-29,TCL,Trans-Century,20,37.75,24.5,24.5,24.5,24.5,-,-,"2,600",-,,
2012-05-30,TCL,Trans-Century,20,37.75,24,24.5,24,24.5,-0.5,2.08%,"2,200",-,,
2012-05-31,TCL,Trans-Century,20,37.75,24,24,24,24,-,-,"6,100",-,,
2012-06-04,TCL,Trans-Century,20,37.75,23.75,25,24.25,24,0.25,1.03%,"9,800",-,,
2012-06-05,TCL,Trans-Century,20,37.75,25,25,25,24.25,0.75,3.00%,"1,100",-,,
2012-06-06,TCL,Trans-Century,20,37.75,23.75,25,24.25,25,-0.75,3.09%,"1,800",-,,
2012-06-07,TCL,Trans-Century,20,37.75,24,26.5,25.5,24.25,1.25,4.90%,"3,300",-,,
2012-06-08,TCL,Trans-Century,20,37.75,24,24,24,25.5,-1.5,6.25%,"6,700",-,,
2012-06-11,TCL,Trans-Century,20,37.75,25,25,25,24,1,4.00%,200,-,,
2012-06-12,TCL,Trans-Century,20,37.75,25,25,25,25,-,-,0,-,,
2012-06-13,TCL,Trans-Century,20,37.75,24,25,24,25,-1,4.17%,"9,100",-,,
2012-06-14,TCL,Trans-Century,20,37.75,25,25,25,24,1,4.00%,100,-,,
2012-06-15,TCL,Trans-Century,20,37.75,24,24,24,25,-1,4.17%,"2,400",-,,
2012-06-18,TCL,Trans-Century,20,37.75,24,24,24,24,-,-,0,-,,
2012-06-19,TCL,Trans-Century,20,37.75,24,24,24,24,-,-,0,-,,
2012-06-20,TCL,Trans-Century,20,37.75,24,24,24,24,-,-,"81,900",-,,
2012-06-21,TCL,Trans-Century,20,37.75,24.5,24.5,24.5,24,0.5,2.04%,"10,000",-,,
2012-06-22,TCL,Trans-Century,20,37.75,24.5,24.5,24.5,24.5,-,-,200,-,,
2012-06-25,TCL,Trans-Century,20,37.75,24.5,24.5,24.5,24.5,-,-,0,-,,
2012-06-26,TCL,Trans-Century,20,37.75,23.25,23.25,23.25,24.5,-1.25,5.38%,"1,000",-,,
2012-06-27,TCL,Trans-Century,20,37.75,24.25,24.25,24.25,23.25,1,4.12%,400,-,,
2012-06-28,TCL,Trans-Century,20,37.75,24.25,24.25,24.25,24.25,-,-,0,-,,
2012-06-29,TCL,Trans-Century,20,37.75,24.25,24.25,24.25,24.25,-,-,0,-,,
2012-07-02,TCL,Trans-Century,20,37.75,24.25,24.25,24.25,24.25,-,-,"1,500",-,,
2012-07-03,TCL,Trans-Century,20,37.75,24,25,24,24.25,-0.25,1.04%,"3,300",-,,
2012-07-04,TCL,Trans-Century,20,37.75,24,24,24,24,-,-,0,-,,
2012-07-05,TCL,Trans-Century,20,37.75,24.25,25,24.5,24,0.5,2.04%,"1,000",-,,
2012-07-06,TCL,Trans-Century,20,37.75,24.5,24.5,24.5,24.5,-,-,0,-,,
2012-07-09,TCL,Trans-Century,20,37.75,24.5,24.5,24.5,24.5,-,-,0,-,,
2012-07-10,TCL,Trans-Century,20,37.75,24.5,24.5,24.5,24.5,-,-,0,-,,
2012-07-11,TCL,Trans-Century,20,37.75,24.5,24.5,24.5,24.5,-,-,"10,300",-,,
2012-07-12,TCL,Trans-Century,20,37.75,22.25,24.5,24.25,24.5,-0.25,1.03%,"144,100",-,,
2012-07-13,TCL,Trans-Century,20,37.75,24,24,24,24.25,-0.25,1.04%,"240,800",-,,
2012-07-16,TCL,Trans-Century,20,37.75,23.25,24.5,24.25,24,0.25,1.03%,"4,200",-,,
2012-07-17,TCL,Trans-Century,20,37.75,24,24.5,24,24.25,-0.25,1.04%,"2,800",-,,
2012-07-18,TCL,Trans-Century,20,37.75,24,24,24,24,-,-,"14,000",-,,
2012-07-19,TCL,Trans-Century,20,37.75,24,24.5,24,24,-,-,"30,500",-,,
2012-07-20,TCL,Trans-Century,20,37.75,24,24.5,24,24,-,-,"20,700",-,,
2012-07-23,TCL,Trans-Century,20,37.75,24,25,24.25,24,0.25,1.03%,"11,200",-,,
2012-07-24,TCL,Trans-Century,20,37.75,24,24,24,24.25,-0.25,1.04%,"71,100",-,,
2012-07-25,TCL,Trans-Century,20,37.75,23.25,25,24,24,-,-,"79,200",-,,
2012-07-26,TCL,Trans-Century,20,37.75,24.5,25,24.75,24,0.75,3.03%,"8,600",-,,
2012-07-27,TCL,Trans-Century,20,37.75,25,25,25,24.75,0.25,1.00%,"181,800",-,,
2012-07-30,TCL,Trans-Century,20,37.75,25,25,25,25,-,-,"5,100",-,,
2012-07-31,TCL,Trans-Century,20,37.75,25,25,25,25,-,-,"17,500",-,,
2012-08-01,TCL,Trans-Century,20,37.75,24,24.5,24.25,25,-0.75,3.09%,"53,700",-,,
2012-08-02,TCL,Trans-Century,20,37.75,25,25,25,24.25,0.75,3.00%,100,-,,
2012-08-03,TCL,Trans-Century,20,37.75,25,25,25,25,-,-,0,-,,
2012-08-06,TCL,Trans-Century,20,37.75,25,25,25,25,-,-,100,-,,
2012-08-07,TCL,Trans-Century,20,37.75,24,25,24.5,25,-0.5,2.04%,"14,000",-,,
2012-08-08,TCL,Trans-Century,20,37.75,24.5,24.5,24.5,24.5,-,-,100,-,,
2012-08-09,TCL,Trans-Century,20,37.75,24.5,24.5,24.5,24.5,-,-,400,-,,
2012-08-10,TCL,Trans-Century,20,37.75,24,24.25,24,24.5,-0.5,2.08%,"11,300",-,,
2012-08-13,TCL,Trans-Century,20,37.75,23,24.75,23.25,24,-0.75,3.23%,700,-,,
2012-08-14,TCL,Trans-Century,20,37.75,24,24,24,23.25,0.75,3.13%,"4,000",-,,
2012-08-15,TCL,Trans-Century,20,37.75,24,24,24,24,-,-,0,-,,
2012-08-16,TCL,Trans-Century,20,37.75,24,24,24,24,-,-,0,-,,
2012-08-17,TCL,Trans-Century,20,37.75,23,25,24.75,24,0.75,3.03%,"5,900",-,,
2012-08-21,TCL,Trans-Century,20,37.75,24,24,24,24.75,-0.75,3.13%,100,-,,
2012-08-22,TCL,Trans-Century,20,37.75,24,24,24,24,-,-,100,-,,
2012-08-23,TCL,Trans-Century,20,37.75,23,24,23.75,24,-0.25,1.05%,"11,400",-,,
2012-08-24,TCL,Trans-Century,20,37.75,24.75,26,25,23.75,1.25,5.00%,"3,400",-,,
2012-08-27,TCL,Trans-Century,20,37.75,23,26,23.25,25,-1.75,7.53%,"18,900",-,,
